,ADM0_A3,net_export,population,final_demand,CONTINENT,CONTINENT_code,demand_capita,net_export_capita,colors
102,MCO,279.28574837810675,57706.89916005904,6628646.7583633335,Europe,2,114.86749166642542,0.004839728913582142,#fdc086
103,PAN,299.11684779931034,4095282.021474819,56582945.58294042,North America,3,13.816617582435363,7.303937707606043e-05,#a6cee3
104,CUB,305.50033523707225,11192004.56509914,86050202.45981522,North America,3,7.688542473271674,2.7296301878730165e-05,#a6cee3
105,CIV,320.655513743523,26578876.832305625,31181678.423809383,Africa,0,1.1731751729218756,1.2064298870363787e-05,#7fc97f
106,LAO,366.38729755228974,7847970.277154484,16689619.318292817,Asia,1,2.1266160203073725,4.6685612281031016e-05,#beaed4
107,LVA,382.31532071597326,2487001.658762805,26783320.26668184,Europe,2,10.76932143262244,0.00015372539836027352,#fdc086
108,MUS,386.4029932720898,1291253.816722544,11156822.180415552,Seven seas (open ocean),5,8.640301415513923,0.0002992463513121352,#f0027f
109,AFG,419.39625576917024,30567799.756560218,24470517.834266976,Asia,1,0.8005325221032733,1.3720197695261424e-05,#beaed4
110,MOZ,433.6246251054413,31389396.601006296,16321360.52111851,Africa,0,0.5199641372078899,1.381436638038273e-05,#7fc97f
111,URY,442.93186258157834,3395010.2664307333,51943409.392899774,South America,6,15.299927044847877,0.00013046554437882294,#bf5b17
112,MAC,444.9528712732503,604105.5709188867,27666802.768425323,Asia,1,45.79795999289029,0.0007365482006670555,#beaed4
113,COG,449.4123977644697,4139554.3157699164,10640117.102611138,Africa,0,2.57035330158053,0.00010856540667974866,#7fc97f
114,MNE,453.4242863314909,676967.2836666845,5011593.621180993,Europe,2,7.403007120279876,0.0006697875913228644,#fdc086
115,LUX,454.3812321022891,575801.6837999927,38554368.40536774,Europe,2,66.95772084396991,0.0007891280016821217,#fdc086
116,NAM,481.3747205312817,2410862.2726510987,13868504.189208042,Africa,0,5.752507866804675,0.00019966910843145726,#7fc97f
117,EST,493.7867587958454,1371749.0045565718,22968037.972508788,Europe,2,16.743615556647246,0.0003599687385634121,#fdc086
118,ALB,508.5807062131755,2895459.505805033,13468067.02728719,Europe,2,4.651443751945212,0.00017564766669799216,#fdc086
119,LTU,521.8558755404763,2761872.1691458095,42746679.41613209,Europe,2,15.477428641946439,0.0001889500467727569,#fdc086
120,SUD,538.989435307441,42523827.02118836,87974384.2903812,Africa,0,2.068825655003868,1.2674998302454728e-05,#7fc97f
121,PRY,561.2328331030856,7483972.073258206,33919402.22004865,South America,6,4.532272687287243,7.499130509966594e-05,#bf5b17
122,SEN,584.1796698955393,16769110.729353016,20906298.82802098,Africa,0,1.246714817824307,3.4836651705864075e-05,#7fc97f
123,ZAF,605.2972606689582,60200171.23810934,300108107.3617147,Africa,0,4.985170327418158,1.005474317132471e-05,#7fc97f
124,TZA,635.0314362487043,56409386.32829301,50204638.62921152,Africa,0,0.8900050487525087,1.125754909923908e-05,#7fc97f
125,NGA,638.9908709334304,216633481.842125,405285393.38890886,Africa,0,1.8708345078636868,2.9496404041509376e-06,#7fc97f
126,PNG,654.4472242162987,9397865.713221172,17156828.23746074,Oceania,4,1.8256090011292723,6.96378565290207e-05,#386cb0
127,GHA,735.3175848461224,32926166.37494388,53846898.71810159,Africa,0,1.6353831814164053,2.2332316992897286e-05,#7fc97f
128,BHR,843.8806158999084,2293788.406522696,28990508.69164239,Asia,1,12.63870224873575,0.000367898195622674,#beaed4
129,CYP,929.3404422152553,1276044.5452763836,26021351.137573496,Asia,1,20.392196521585713,0.0007282978056333964,#beaed4
130,TTO,964.9773354072039,1390743.456647951,22658152.372447006,North America,3,16.292115029653978,0.0006938571817789078,#a6cee3
131,DOM,997.1816044392426,12357360.7402127,69797234.36106901,North America,3,5.648231513865123,8.069535440478521e-05,#a6cee3
132,SOM,1072.2954193830642,9256181.832906216,1171462.0483841486,Africa,0,0.12655996495439825,0.00011584640824265111,#7fc97f
133,CHL,1104.5723750938178,20824657.92559088,246661427.03335634,South America,6,11.844680854528733,5.3041561548842415e-05,#bf5b17
134,GUY,1205.147706589213,760624.4015528355,28867441.9356258,South America,6,37.95229534668113,0.0015844189380841201,#bf5b17
135,PRT,1313.4758982700278,10670160.566194622,199963168.71234968,Europe,2,18.740408588215278,0.00012309804431916458,#fdc086
136,NZL,1364.291807265676,3271343.0246831025,183289510.7496947,Oceania,4,56.02882649930913,0.00041704333571005933,#386cb0
137,MNG,1373.0688475389848,3245666.4698936245,12035817.636552867,Asia,1,3.7082730921970968,0.00042304681034708615,#beaed4
138,POL,1407.8292975291006,39268484.82147778,450016343.3323165,Europe,2,11.459987452487127,3.585137811986809e-05,#fdc086
139,MKD,1593.1118843863105,2174479.9711354338,10749523.467438508,Europe,2,4.943491598051143,0.0007326404039281382,#fdc086
140,JOR,1614.3011538650717,7038267.686109754,48119823.8831434,Asia,1,6.836884589955197,0.00022936057931569534,#beaed4
141,DNK,1639.15376786798,6017158.3028201405,288806826.2785319,Europe,2,47.99721259505056,0.0002724132697489006,#fdc086
142,LBN,1860.184904764346,10047227.834163321,58486105.68051895,Asia,1,5.821118685260645,0.00018514409501486657,#beaed4
143,MMR,2039.547237310233,49085382.22554134,69374946.42443222,Asia,1,1.413352474381534,4.15510106030908e-05,#beaed4
144,PHL,2050.3998872438024,110181489.1535412,349103172.5210684,Asia,1,3.168437595126189,1.86092954723684e-05,#beaed4
145,FIN,2229.8497950393034,5596608.085104298,239237800.7011473,Europe,2,42.7469276145837,0.00039842879135563915,#fdc086
