,ADM0_A3,NAME,net_export,population,final_demand,CONTINENT,CONTINENT_code,net_export_capita,Colony,Colony_code
22,BOL,Bolivia,-183.78793924821457,11958459.874454644,36567155263.50133,South America,6,-1.5368863647802812e-05,Z_Other,11
23,BIH,Bosnia and Herz.,2322.659415829062,3280253.3940957338,18481536090.433006,Europe,2,0.0007080731689843578,Z_Other,11
24,BWA,Botswana,130.05453644174787,2328869.6852201307,14643660011.480177,Africa,0,5.584448853756057e-05,GBR_colony,4
25,BRA,Brazil,-10029.614135133641,217276419.4014073,1773942574580.4377,South America,6,-4.6160619559016346e-05,Z_Other,11
26,VGB,British Virgin Is.,17.48091209960843,90296.63786959347,650009971.2797413,North America,3,0.0001935942745161164,Z_Other,11
27,BRN,Brunei,215.59512886869095,470702.8486485294,9453401857.905352,Asia,1,0.00045802809455626297,GBR_colony,4
28,BGR,Bulgaria,-6006.9582757742855,7748474.110322319,47548503851.55226,Europe,2,-0.0007752440274365722,Z_Other,11
29,BFA,Burkina Faso,-430.1701228087262,22817887.22274652,13379662711.48516,Africa,0,-1.8852320489159993e-05,FRA_colony,3
30,BDI,Palestine,-146.50265290370976,11301644.91717482,2339158904.9250593,Africa,0,-1.2962949550916561e-05,BEL_colony,1
31,KHM,Cambodia,-2590.383176736282,19746552.595341418,20635439324.86054,Asia,1,-0.00013118153987787227,FRA_colony,3
32,CMR,Cameroon,-896.3326559361544,28523807.77659907,30938063113.43513,Africa,0,-3.142401824315706e-05,FRA_colony,3
33,CAN,Canada,14839.72582534375,37341553.20510497,1569960117612.4033,North America,3,0.00039740515730114323,Z_Other,11
34,CPV,Cabo Verde,29.206577354644267,546389.9238095387,1289046866.4062788,Africa,0,5.345372614306323e-05,PRT_colony,8
35,CYM,Cayman Is.,54.273117954132836,76245.85893920258,4877382477.385685,North America,3,0.0007118172541988083,Z_Other,11
36,CAF,Central African Rep.,-202.85723974644907,5602344.504548933,1861157551.3595932,Africa,0,-3.620934763682154e-05,FRA_colony,3
37,TCD,Chad,-86.85735787473135,16456546.893724857,10278058819.175972,Africa,0,-5.2779819749337235e-06,FRA_colony,3
38,CHL,Chile,1047.4281357180498,20824657.92559088,246661427033.35635,South America,6,5.029749537594529e-05,Z_Other,11
39,CHN,China,-218437.64546950755,1444650062.0503728,10863777758054.498,Asia,1,-0.00015120453818378817,Z_Other,11
40,COL,Colombia,-2598.616708609734,63121337.87326199,301922799724.9521,South America,6,-4.116859363512478e-05,Z_Other,11
41,COG,Congo,380.76918433510116,4139554.3157699164,10640117102.611137,Africa,0,9.198313520963714e-05,FRA_colony,3
42,CRI,Costa Rica,25.861149012981286,4841872.435015336,55061557150.40954,North America,3,5.341146294140105e-06,Z_Other,11
43,HRV,Croatia,-784.2638553678476,4192379.7697633607,48272473513.39102,Europe,2,-0.00018706889605378364,Z_Other,11
44,CUB,Cuba,294.17100329046025,11192004.56509914,86050202459.81522,North America,3,2.6284031746001564e-05,Z_Other,11
45,CYP,Cyprus,847.7860425600713,1276044.5452763836,26021351137.573494,Asia,1,0.0006643859304899469,GBR_colony,4
46,CZE,Czechia,2266.2077100848564,10844928.52745556,162893938402.87225,Europe,2,0.00020896474369080554,Z_Other,11
47,CIV,Côte d'Ivoire,256.40473691824195,26578876.832305625,31181678423.809383,Africa,0,9.646936495322166e-06,FRA_colony,3
