,ADM0_A3,NAME,net_export,export_of_death,import_of_death,population,final_demand,CONTINENT,CONTINENT_code,net_export_capita,final_demand_capita
148,SYC,Seychelles,174.94764653068276,177.3464823232211,2.3988357925383372,105109.54404311148,1362116118.1560407,Other,5,0.0016644315996549909,12959.014621901113
149,SLE,Sierra Leone,-83.09129445404665,264.53850417820075,347.6297986322474,6802602.292371553,4925465337.151177,Africa,0,-1.2214633589152393e-05,724.0560487674842
150,SGP,Singapore,7011.221559213811,8767.041448882732,1755.8198896689214,4436375.266453107,228504699834.66537,Asia,1,0.0015803941592207325,51507.071902272924
151,SVK,Slovakia,-108.57373979573413,2493.8964627828104,2602.4702025785446,5446394.1222897675,85754184211.28784,Europe,2,-1.993497667592364e-05,15745.130133042072
152,SVN,Slovenia,200.53918373623083,879.9176079723035,679.3784242360726,2163416.7730561527,40504226555.53814,Europe,2,9.269558516593127e-05,18722.34100243191
153,SOM,Somalia,830.812909080071,962.3442747484382,131.5313656683673,9256181.832906216,1171462048.3841486,Africa,0,8.975762620895012e-05,126.55996495439825
154,ZAF,South Africa,648.70553124246,7264.429807310968,6615.724276068508,60200171.23810934,300108107361.7147,Africa,0,1.0775808737763208e-05,4985.170327418158
155,SDS,S. Sudan,-470.41846001533565,166.0398358080654,636.458295823401,16475203.23718785,10255647489.640903,Africa,0,-2.855312030102952e-05,622.4898923548235
156,ESP,Spain,7312.159377833046,16228.172360083632,8916.012982250586,53262246.213412285,1170233841099.5735,Europe,2,0.00013728597454441805,21971.16952992662
157,LKA,Sri Lanka,108.5060701714774,4623.881606351813,4515.375536180336,21636246.23728932,87247872555.99487,Asia,1,5.015013647999205e-06,4032.486578269117
158,SUD,,-25.044124543650014,2638.877592205617,2663.921716749267,42523827.02118836,87974384290.3812,Africa,0,-5.889433359601258e-07,2068.825655003868
159,SUR,Suriname,82.89233344167538,106.38391827646856,23.491584834793187,673345.0149995409,3041924315.6268134,South America,6,0.00012310529014866457,4517.631003221859
160,SWZ,eSwatini,-519.3919039768042,163.13171635643178,682.523620333236,1077422.9579367847,3963608882.9517865,Africa,0,-0.000482068717907604,3678.786361246576
161,SWE,Sweden,4987.059895419185,5432.793368322142,445.73347290295726,10354931.918229472,491394904696.0987,Europe,2,0.0004816120409869283,47455.15553134794
162,CHE,Switzerland,6752.9475942522295,7539.900764506756,786.9531702545262,8760603.726424845,586060417533.3551,Europe,2,0.0007708313039982772,66897.26368578975
163,SYR,Syria,-3952.2836944757278,2861.9117617806783,6814.195456256406,26663566.04902693,14367350769.748596,Asia,1,-0.00014822787346630868,538.8383062989777
164,TWN,Taiwan,-1140.2951722210819,8450.440140718018,9590.7353129391,24116816.517371673,204673333535.9041,Asia,1,-4.728215979085431e-05,8486.74755179545
165,TJK,Tajikistan,-623.091928022866,897.1576905360224,1520.2496185588884,9241116.24855163,7601495736.717649,Asia,1,-6.742604586545742e-05,822.5733268866778
166,THA,Thailand,-6685.971255235832,14848.10565810615,21534.07691334198,74912319.77530849,361847584574.7947,Asia,1,-8.925062359955866e-05,4830.281396439436
167,MKD,Macedonia,-512.6019502991344,1106.6086697464532,1619.2106200455876,2174479.9711354338,10749523467.438507,Europe,2,-0.00023573542046996756,4943.491598051142
168,TGO,Togo,-171.84198448250072,510.7737635565886,682.6157480390893,8768743.437372752,4905867364.789344,Africa,0,-1.959710484287897e-05,559.4721067878816
169,TTO,Trinidad and Tobago,844.7212376826797,908.9828298348993,64.26159215221969,1390743.456647951,22658152372.447006,North America,3,0.0006073882524090208,16292.115029653978
170,TUN,Tunisia,235.43696678043943,1549.6790914861122,1314.2421247056727,11844807.184454134,45886418391.28328,Africa,0,1.9876808724201238e-05,3873.969215092626
171,TUR,Turkey,25674.210780855246,39342.654066440875,13668.443285585628,81192448.9063638,810738613971.6173,Asia,1,0.00031621426778818246,9985.394268703629
172,TKM,Turkmenistan,3193.3850884839944,5097.670075318817,1904.2849868348226,9951125.607911114,40402265228.78,Asia,1,0.0003209069219209999,4060.069867539439
173,UGA,Uganda,-1989.5259543488742,1275.0015584210919,3264.527512769966,42487793.89071937,27027814176.71659,Africa,0,-4.682582389346996e-05,636.1312673996069
174,UKR,Ukraine,-12780.54586826509,7554.596073133143,20335.141941398233,41531320.2186674,100073901020.47127,Europe,2,-0.00030773271355145893,2409.600766206567
175,ARE,United Arab Emirates,14722.513309786957,16308.994926959575,1586.4816171726184,8984043.14446557,263465137586.76724,Asia,1,0.0016387402723968942,29325.898523658514
